Region,Major RGI region,Mountain range region,Country,Glacier,RGI glacier ID,Lake name,Lake type,Longitude,Latitude,River,Outburst mechanism
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Moose,RGI60-01.09061,Moose,ice,-149.025829,60.480729,Snow,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,subglacial,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,Alaska Ra (Wrangell/Kilbuck),USA,Kennicott Glacier,RGI60-01.15645,Hidden Creek Lake,ice,-143.093834,61.560855,Kennicott,
NW North America,Alaska,N Coast Ranges,Canada,Tulsequah Glacier,RGI60-01.01521,Lake No Lake,ice,-133.862658,58.878526,Taku,
NW North America,Alaska,N Coast Ranges,Canada,Salmon Glacier,RGI60-01.06618,Summit Lake,ice,-130.079713,56.201261,Salmon,
NW North America,Alaska,St Elias Mtns,USA,Miles Glacier,RGI60-01.13531,Van Cleve Lake,ice,-144.408245,60.695872,,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,subglacial,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,N Coast Ranges,Canada,Salmon Glacier,RGI60-01.06618,Summit Lake,ice,-130.079713,56.201261,Salmon,
NW North America,Alaska,St Elias Mtns,USA,Steller Glacier,RGI60-01.14883,Berg Lake,ice,-143.80331,60.403511,,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Skilak Glacier,RGI60-01.17774,Skilak lake,ice,-149.944668,60.199099,,
NW North America,Alaska,St Elias Mtns,Canada,Kaskawulsh Glacier,RGI60-01.16201,Kaskawulsh Lake,ice,-139.135408,60.778189,,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Moose,RGI60-01.09061,Moose,ice,-149.025829,60.480729,Snow,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Moose,RGI60-01.09061,Moose,ice,-149.025829,60.480729,Snow,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,subglacial,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,subglacial,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,N Coast Ranges,Canada,Tulsequah Glacier,RGI60-01.01521,Lake No Lake,ice,-133.862658,58.878526,Taku,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,subglacial,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,subglacial,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,subglacial,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,subglacial,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,Alaska Ra (Wrangell/Kilbuck),USA,Kennicott Glacier,RGI60-01.15645,Hidden Creek Lake,ice,-143.093834,61.560855,Kennicott,
NW North America,Alaska,St Elias Mtns,USA,Miles Glacier,RGI60-01.13531,Van Cleve Lake,ice,-144.408245,60.695872,,
NW North America,Alaska,St Elias Mtns,USA,Steller Glacier,RGI60-01.14883,Berg Lake,ice,-143.80331,60.403511,,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,subglacial,-134.495745,58.45869,Mendenhall,
NW North America,Western Canada and USA,Cascade Ra and Sa Nevada,USA,South Tahoma Glacier,RGI60-02.14352,,water pocket,-121.805,46.824,,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,subglacial,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Tazlina Glacier,RGI60-01.10778,Big Lake,ice,-146.620789,61.59664,,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,subglacial,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Snow,RGI60-01.09061,Snow,ice,-148.924999,60.482579,Snow,
NW North America,Alaska,N Coast Ranges,USA,Baird Glacier,RGI60-01.27105,Witches Caldron,ice,-132.531,57.135,,
NW North America,Western Canada and USA,Cascade Ra and Sa Nevada,USA,South Tahoma Glacier,RGI60-02.14352,,water pocket,-121.805,46.824,,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,subglacial,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,N Coast Ranges,USA,Lituya Glacier,RGI60-01.21005,Desolation Lake,ice,-137.604,58.751,Lituya Bay,subglacial tunneling
NW North America,Alaska,St Elias Mtns,Canada,Kaskawulsh Glacier,RGI60-01.16201,Kaskawulsh Lake,ice,-139.135408,60.778189,,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Moose,RGI60-01.09061,Moose,ice,-149.025829,60.480729,Snow,
NW North America,Alaska,St Elias Mtns,USA,Miles Glacier,RGI60-01.13531,Van Cleve Lake,ice,-144.408245,60.695872,,
NW North America,Alaska,N Coast Ranges,Canada,Tulsequah Glacier,RGI60-01.01521,Lake No Lake,ice,-133.862658,58.878526,Taku,
NW North America,Alaska,St Elias Mtns,USA,Steller Glacier,RGI60-01.14883,Berg Lake,ice,-143.80331,60.403511,,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Valdez,RGI60-01.10907,Valdez,ice,-146.136,61.2204,,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,subglacial,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,N Coast Ranges,Canada,Salmon Glacier,RGI60-01.06618,Summit Lake,ice,-130.079713,56.201261,Salmon,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Valdez,RGI60-01.10907,Valdez,ice,-146.136,61.2204,,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,subglacial,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,Alaska Ra (Wrangell/Kilbuck),USA,Kennicott Glacier,RGI60-01.15645,Hidden Creek Lake,ice,-143.093834,61.560855,Kennicott,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Tazlina Glacier,RGI60-01.10778,Big Lake,ice,-146.620789,61.59664,,
NW North America,Alaska,N Coast Ranges,Canada,Salmon Glacier,RGI60-01.06618,Summit Lake,ice,-130.079713,56.201261,Salmon,
NW North America,Alaska,N Coast Ranges,USA,Lituya Glacier,RGI60-01.21005,Desolation Lake,ice,-137.604,58.751,Lituya Bay,subglacial tunneling
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Skilak Glacier,RGI60-01.17774,Skilak lake,ice,-149.944668,60.199099,Snow,
NW North America,Alaska,N Coast Ranges,Canada,Tulsequah Glacier,RGI60-01.01521,Lake No Lake,ice,-133.862658,58.878526,Taku,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,subglacial,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,St Elias Mtns,Canada,Kaskawulsh Glacier,RGI60-01.16201,Kaskawulsh Lake,ice,-139.135408,60.778189,,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,subglacial,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,W Chugach Mtns (Talkeetna),USA,Valdez,RGI60-01.10907,Valdez,ice,-146.136,61.2204,,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,subglacial,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,N Coast Ranges,Canada,Salmon Glacier,RGI60-01.06618,Summit Lake,ice,-130.079713,56.201261,,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,subglacial,-134.495745,58.45869,Mendenhall,
NW North America,Alaska,N Coast Ranges,Canada,Tulsequah Glacier,RGI60-01.01521,Lake No Lake,ice,-133.862658,58.878526,,
NW North America,Alaska,N Coast Ranges,USA,Mendenhall Glacier,RGI60-01.00709,Suicide Lake,subglacial,-134.495745,58.45869,Mendenhall,
