Lake ID,Region,Major RGI region,Mountain range region,Country,Glacier,RGI glacier ID,Lake name,Lake type,Longitude,Latitude,River,Outburst mechanism
127,Andes,Southern Andes,Patagonia,Argentina,Gl. Dickson,RGI60-17.04871,Lago Dickson,supraglacial,-73.1046867,-50.71553324,Paine,
128,Andes,Southern Andes,Patagonia,Argentina,Gl. Dickson,RGI60-17.04871,Lago Dickson,supraglacial,-73.1046867,-50.71553324,Paine,
129,Andes,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,Lago Argentino,ice,-72.98,-50.5,Santa Cruz,tunneling and collapse
130,Andes,Low Latitudes,Low-latitude Andes,Bolivia,RGI60-16.00667,RGI60-16.00667,,ice/moraine,-68.38853696,-15.94220587,,overtopping
131,Andes,Low Latitudes,Low-latitude Andes,Bolivia,RGI60-16.00793,RGI60-16.00793,,moraine/bedrock,-69.07435727,-15.00775384,,
132,Andes,Low Latitudes,Low-latitude Andes,Bolivia,RGI60-16.00788,RGI60-16.00788,,moraine,-68.98354155,-15.00341703,,breach
133,Andes,Low Latitudes,Low-latitude Andes,Bolivia,RGI60-16.00799,RGI60-16.00799,,bedrock,-69.12798988,-14.91398631,,overtopping
134,Andes,Low Latitudes,Low-latitude Andes,Bolivia,RGI60-16.00877,RGI60-16.00877,,moraine,-69.16233242,-14.78918697,,breach
135,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.00289,RGI60-16.00289,,moraine,-72.58707009,-13.32931486,,breach
136,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.00244,RGI60-16.00244,,moraine,-72.5848202,-13.37955277,,overtopping
137,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.01963,RGI60-16.01963,,moraine,-77.25096555,-9.97958117,,breach
138,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02622,RGI60-16.02622,,moraine,-76.04308516,-11.9799029,,breach
139,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02051,RGI60-16.02051,,moraine,-75.06008543,-11.92269213,,breach
140,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.00337,RGI60-16.00337,,moraine,-72.81931363,-13.20579257,,breach
141,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.00912,RGI60-16.00912,,moraine,-69.24850355,-14.6306681,,breach
142,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.00371,RGI60-16.00371,,bedrock,-71.9703049,-13.19998251,,overtopping
143,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02614,RGI60-16.02614,,moraine,-76.03174928,-11.92164758,,breach
144,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.01899,RGI60-16.01891,W023,bedrock,-76.8742,-10.3646,,overtopping
